ID,Timestamp,Value,point_name,equipment,parent_equipment_name,equipment_type,Name,Accounting Number
10034,2022-02-21 16:26:12.157+00,0.0,Tubing Pressure,HALITE B2H,HALITE Well Pad,Gas Lift,HALITE B2H,204728.01
10093,2022-02-21 16:26:12.157+00,1.25,Casing Pressure,TURQUOISE B 2H,TURQUOISE Well Pad,Gas Lift,TURQUOISE B 2H,204701.01
10080,2022-02-21 16:26:12.157+00,424.965,Tubing Pressure,SHARKTOOTH (SA) UNIT 1 1H,SHARKTOOTH Well Pad,Gas Lift,SHARKTOOTH (SA) UNIT 1 1H,204511.01
10022,2022-02-21 16:26:12.157+00,7.688,Tubing Pressure,LAGER UNIT 4H,LAGER Well Pad,Gas Lift,LAGER UNIT 4H,204309.01
10085,2022-02-21 16:26:12.157+00,0.5,Casing Pressure,TOPAZ A 1H,TOPAZ Well Pad,Gas Lift,TOPAZ A 1H,204714.01
10094,2022-02-21 16:26:12.157+00,107.747,Tubing Pressure,TURQUOISE C 3H,TURQUOISE Well Pad,Gas Lift,TURQUOISE C 3H,204717.01
10088,2022-02-21 16:26:12.157+00,856.109,Tubing Pressure,TOPAZ C 3H,TOPAZ Well Pad,Gas Lift,TOPAZ C 3H,204716.01
10016,2022-02-21 16:26:12.157+00,6.116,Tubing Pressure,CORAL B 2H,CORAL Well Pad,Gas Lift,CORAL B 2H,204346.01
10018,2022-02-21 16:26:12.157+00,159.88,Tubing Pressure,CORAL C 3H,CORAL Well Pad,Gas Lift,CORAL C 3H,204669.01
10008,2022-02-21 16:26:12.157+00,18.625,Tubing Pressure,CARBONITE A1H,CARBONITE Well Pad,Gas Lift,CARBONITE A1H,204718.01
10073,2022-02-21 16:26:12.157+00,425.014,Casing Pressure,SAPPHIRE B 2H,SAPPHIRE Well Pad,Gas Lift,SAPPHIRE B 2H,204689.01
10033,2022-02-21 16:26:12.157+00,425.0,Casing Pressure,HALITE A1H,HALITE Well Pad,Gas Lift,HALITE A1H,204727.01
10021,2022-02-21 16:26:12.157+00,231.636,Casing Pressure,DIAMOND A1H,DIAMOND Well Pad,Gas Lift,DIAMOND A1H,204636.01
10079,2022-02-21 16:26:12.157+00,25.469,Casing Pressure,SERPENTINE C 3H,SERPENTINE Well Pad,Gas Lift,SERPENTINE C 3H,204692.01
10032,2022-02-21 16:26:12.157+00,425.0,Tubing Pressure,HALITE A1H,HALITE Well Pad,Gas Lift,HALITE A1H,204727.01
10075,2022-02-21 16:26:12.157+00,4.926,Casing Pressure,SERPENTINE A 1H,SERPENTINE Well Pad,Gas Lift,SERPENTINE A 1H,204690.01
10024,2022-02-21 16:26:12.157+00,187.613,Tubing Pressure,DRAGONSTONE A 1H,HAWG 3H 4H 5H/DRAGONSTONE A1 B2 Well Pad,Gas Lift,DRAGONSTONE A 1H,204683.01
10019,2022-02-21 16:26:12.157+00,9.758,Casing Pressure,CORAL C 3H,CORAL Well Pad,Gas Lift,CORAL C 3H,204669.01
10078,2022-02-21 16:26:12.157+00,0.5,Tubing Pressure,SERPENTINE C 3H,SERPENTINE Well Pad,Gas Lift,SERPENTINE C 3H,204692.01
10077,2022-02-21 16:26:12.157+00,995.747,Casing Pressure,SERPENTINE B 2H,SERPENTINE Well Pad,Gas Lift,SERPENTINE B 2H,204691.01
