"item_id","point_name","equipment","parent_equipment_name","equipment_type"
10000,Tubing Pressure,BIG FIVE A1 H,BIG FIVE Well Pad,Gas Lift
10001,Casing Pressure,BIG FIVE A1 H,BIG FIVE Well Pad,Gas Lift
10002,Tubing Pressure,BIG FIVE B 2H,BIG FIVE Well Pad,Gas Lift
10003,Casing Pressure,BIG FIVE B 2H,BIG FIVE Well Pad,Gas Lift
10004,Tubing Pressure,BLOODSTONE C 3H,BLOODSTONE C 3H D 4H Well Pad,Gas Lift
10005,Casing Pressure,BLOODSTONE C 3H,BLOODSTONE C 3H D 4H Well Pad,Gas Lift
10006,Tubing Pressure,BLOODSTONE D 4H,BLOODSTONE C 3H D 4H Well Pad,Gas Lift
10007,Casing Pressure,BLOODSTONE D 4H,BLOODSTONE C 3H D 4H Well Pad,Gas Lift
10008,Tubing Pressure,CARBONITE A1H,CARBONITE Well Pad,Gas Lift
10009,Casing Pressure,CARBONITE A1H,CARBONITE Well Pad,Gas Lift
10010,Tubing Pressure,CARBONITE B2H,CARBONITE Well Pad,Gas Lift
10011,Casing Pressure,CARBONITE B2H,CARBONITE Well Pad,Gas Lift
10012,Tubing Pressure,CARBONITE C3H,CARBONITE Well Pad,Gas Lift
10013,Casing Pressure,CARBONITE C3H,CARBONITE Well Pad,Gas Lift
10014,Tubing Pressure,CORAL A 1H,CORAL Well Pad,Gas Lift
10015,Casing Pressure,CORAL A 1H,CORAL Well Pad,Gas Lift
10016,Tubing Pressure,CORAL B 2H,CORAL Well Pad,Gas Lift
10017,Casing Pressure,CORAL B 2H,CORAL Well Pad,Gas Lift
10018,Tubing Pressure,CORAL C 3H,CORAL Well Pad,Gas Lift
10019,Casing Pressure,CORAL C 3H,CORAL Well Pad,Gas Lift
10020,Tubing Pressure,DIAMOND A1H,DIAMOND Well Pad,Gas Lift
10021,Casing Pressure,DIAMOND A1H,DIAMOND Well Pad,Gas Lift
10022,Tubing Pressure,LAGER UNIT 4H,LAGER Well Pad,Gas Lift
10023,Casing Pressure,LAGER UNIT 4H,LAGER Well Pad,Gas Lift
10024,Tubing Pressure,DRAGONSTONE A 1H,HAWG 3H 4H 5H/DRAGONSTONE A1 B2 Well Pad,Gas Lift
10025,Casing Pressure,DRAGONSTONE A 1H,HAWG 3H 4H 5H/DRAGONSTONE A1 B2 Well Pad,Gas Lift
10026,Tubing Pressure,DRAGONSTONE B 2H,HAWG 3H 4H 5H/DRAGONSTONE A1 B2 Well Pad,Gas Lift
10027,Casing Pressure,DRAGONSTONE B 2H,HAWG 3H 4H 5H/DRAGONSTONE A1 B2 Well Pad,Gas Lift
10028,Tubing Pressure,EMERALD A1H,EMERALD Well Pad,Gas Lift
10029,Casing Pressure,EMERALD A1H,EMERALD Well Pad,Gas Lift
10030,Tubing Pressure,EMERALD B2H,EMERALD Well Pad,Gas Lift
